date,slot,time,kospi_tv_eok,kosdaq_tv_eok,nxt_tv_eok,adl_pct,limit_up,top5_pct,kospi_chg,kosdaq_chg
2026-05-07,확정,2058,795324.0,167685.0,,,7,,,
2026-05-08,확정,1750,432429.0,134239.0,,,12,,,
2026-05-11,확정,1750,811771.0,160764.0,,,10,,,
2026-05-12,확정,2219,1043846.0,209661.0,,,11,,,
2026-05-15,확정,2310,916407.0,168283.0,,,9,,,
2026-05-18,확정,2305,747019.0,145720.0,,,7,,0.31,-1.66
2026-05-19,확정,1750,604161.0,135870.0,,,8,,-3.25,-2.41
2026-05-20,확정,2134,667193.0,128170.0,,,8,,-0.86,-2.61
2026-06-01,확정,1750,1099140.0,119628.0,,,8,,3.68,-2.3
2026-06-02,확정,1750,1138711.0,111720.0,,,7,,0.15,-2.29
2026-06-04,확정,1750,739896.0,110083.0,,,9,,-1.84,2.31
2026-06-05,확정,1750,799090.0,100026.0,,,5,,-5.54,-4.5
2026-06-08,확정,1750,831907.0,84220.0,,,7,,-8.29,-9.08
2026-06-09,확정,1750,797064.0,101657.0,,,6,,8.18,6.19
2026-06-10,확정,1750,684389.0,85617.0,,,7,,-4.52,-1.67
2026-06-11,확정,2015,746166.0,139506.0,,,10,,0.43,4.76
2026-06-12,확정,1750,862502.0,159178.0,,,12,,4.63,3.22
2026-06-15,확정,1751,651725.0,113974.0,,,11,,5.2,0.48
2026-06-16,확정,1751,699345.0,87827.0,,,10,,2.11,-1.48
2026-06-17,확정,1751,647824.0,96355.0,,,9,,1.58,1.3
2026-06-18,확정,1750,914396.0,89439.0,,,14,,2.25,-3.01
2026-06-19,확정,1750,1162732.0,99802.0,,,9,,-0.13,-3.43
2026-06-22,확정,1750,818533.0,91525.0,,,8,,0.69,0.19
2026-06-23,확정,1750,1042538.0,81756.0,,,10,,-9.99,-7.94
2026-06-24,확정,1750,1069390.0,69858.0,,,15,,3.26,2.0
2026-06-25,확정,1750,908017.0,67818.0,,,8,,5.42,-2.36
2026-06-26,확정,1750,974769.0,80587.0,,,9,,-5.81,-4.1
2026-06-29,확정,1751,774141.0,78036.0,,,18,,-0.2,8.13
2026-06-30,확정,1750,724167.0,76440.0,,,11,,0.97,-0.48
2026-07-01,확정,1750,709961.0,112951.0,,,23,,-2.04,1.44
2026-07-02,확정,1750,854432.0,75959.0,,,8,,-7.89,-6.74
2026-07-03,확정,1751,920855.0,69260.0,,,8,,5.76,0.19
2026-07-06,확정,1751,646607.0,57191.0,,,12,,-0.46,-2.46
2026-07-07,확정,1751,760160.0,61959.0,,,6,,-4.91,-1.87
2026-07-08,확정,1751,815466.0,58680.0,,,7,,-5.35,-5.56
2026-07-09,확정,1751,722810.0,58298.0,,,9,,0.62,1.15
2026-07-10,확정,1751,623778.0,68770.0,,,8,,2.52,5.47
2026-07-13,확정,1751,723959.0,68691.0,,,7,,-8.95,-4.55
2026-07-14,확정,1751,941037.0,65740.0,,,9,,0.73,-1.92
2026-07-15,확정,1751,674484.0,64152.0,,,20,,6.24,5.8
2026-07-16,확정,1751,618894.0,45244.0,,,11,,-6.37,-4.53
2026-07-17,확정,1750,618894.0,45244.0,,,11,,,
2026-07-20,확정,1751,589087.0,46990.0,,,11,,-4.46,-5.33
2026-07-21,확정,1750,524253.0,45707.0,,,14,,3.56,0.49
2026-07-22,확정,1750,519893.0,51873.0,,,10,,0.74,-0.3
2026-07-23,확정,1750,526407.0,54329.0,,,8,,4.4,5.22
2026-07-24,확정,1750,563444.0,48925.0,,,7,,-5.72,-5.32
2026-07-27,확정,1750,438671.0,43594.0,,,9,,0.97,2.22
2026-07-28,확정,1750,569293.0,46188.0,,,10,,-10.84,-7.72
2026-07-29,확정,1750,891307.0,63647.0,,,3,,-5.98,-6.12
2026-07-30,확정,1750,716327.0,43520.0,,,6,,-1.23,-2.7
2026-07-31,확정,1750,772113.0,55208.0,,,26,,17.91,11.63
2026-08-03,확정,1751,431952.0,54461.0,,,12,,-5.12,2.44
2026-08-04,확정,1750,476257.0,58980.0,,,8,,1.62,5.88
2026-08-05,확정,1750,412712.0,63695.0,,,10,,3.76,2.42
2026-08-06,확정,1750,415426.0,60920.0,,,8,,-4.58,0.26
2026-08-07,확정,1750,399253.0,51909.0,,,9,,-0.6,-0.36
2026-08-10,확정,1750,335441.0,71829.0,,,7,,0.65,6.97
2026-08-11,확정,1750,373558.0,67861.0,,58.2,11,46.1,0.73,0.39
2026-08-12,확정,1750,424064.0,64904.0,,54.6,9,52.9,3.68,0.12
2026-08-13,확정,1750,518426.0,73532.0,,51.3,9,52.8,3.56,0.29
2026-08-14,확정,1750,450448.0,74513.0,,64.6,8,51.2,2.42,0.38
2026-08-18,확정,1750,502870.0,80720.0,,23.1,12,53.4,-1.55,-3.52
2026-08-19,확정,1750,420132.0,59923.0,,22.6,7,60.0,-5.8,-1.17
2026-08-20,확정,1750,503856.0,56990.0,,66.8,8,55.3,5.89,1.99
